NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:OTI:KRACHI_EAST_MUNICIPAL,0.2304,7.7893,155125,2771.0
AFRO:GHANA:OTI:KRACHI_NCHUMURU,-0.0874,8.1761,103619,1200.2
AFRO:GHANA:OTI:KRACHI_WEST,-0.0273,7.9195,58791,933.0
AFRO:GHANA:OTI:NKWANTA_NORTH,0.2538,8.5713,88155,1102.6
AFRO:GHANA:OTI:NKWANTA_SOUTH_MUNICIPAL,0.4593,8.2655,137850,2744.3
AFRO:GHANA:SAVANNAH:BOLE,-2.2648,8.7158,96831,6195.1
AFRO:GHANA:SAVANNAH:CENTRAL_GONJA,-1.2712,8.9159,95767,7589.3
AFRO:GHANA:SAVANNAH:EAST_GONJA_MUNICIPAL,-1.0591,8.3756,40989,2264.0
AFRO:GHANA:SAVANNAH:NORTH_EAST_GONJA,-0.5116,8.7336,189654,6115.5
AFRO:GHANA:SAVANNAH:NORTH_GONJA,-1.5381,9.6939,45257,4866.8
AFRO:GHANA:SAVANNAH:SAWLA_TUNA_KALBA,-2.3523,9.5182,98302,4244.1
AFRO:GHANA:SAVANNAH:WEST_GONJA,-1.8138,9.2292,62791,4737.2
AFRO:GHANA:UPPER_EAST:BAWKU_MUNICIPAL,-0.2268,11.0451,75194,248.2
AFRO:GHANA:UPPER_EAST:BAWKU_WEST,-0.4665,10.8271,103311,1076.0
AFRO:GHANA:UPPER_EAST:BINDURI,-0.3142,10.9552,72799,393.5
AFRO:GHANA:UPPER_EAST:BOLGATANGA_MUNICIPAL,-0.9232,10.7679,98672,326.5
AFRO:GHANA:UPPER_EAST:BOLGA_EAST,-0.7970,10.7987,31421,72.1
AFRO:GHANA:UPPER_EAST:BONGO,-0.7934,10.9231,86810,416.6
AFRO:GHANA:UPPER_EAST:BUILSA_NORTH,-1.2465,10.7072,53712,819.9
AFRO:GHANA:UPPER_EAST:BUILSA_SOUTH,-1.3293,10.5344,55134,1246.9
AFRO:GHANA:UPPER_EAST:GARU,-0.2325,10.7644,96186,678.4
AFRO:GHANA:UPPER_EAST:KASENA_NANKANA_EAST,-1.0460,10.7679,109925,770.4
AFRO:GHANA:UPPER_EAST:KASENA_NANKANA_WEST,-1.2788,10.9022,91918,876.6
AFRO:GHANA:UPPER_EAST:NABDAM,-0.6525,10.8370,28678,246.0
AFRO:GHANA:UPPER_EAST:PUSIGA,-0.1077,11.0700,52408,256.7
AFRO:GHANA:UPPER_EAST:TALENSI,-0.7209,10.6680,82367,842.0
AFRO:GHANA:UPPER_EAST:TEMPANE,-0.0756,10.9151,67476,387.3
AFRO:GHANA:UPPER_WEST:DAFFIAMA_BUSSIE_ISSA,-2.3285,10.3876,45870,1461.8
AFRO:GHANA:UPPER_WEST:JIRAPA,-2.5831,10.5868,108758,1193.0
AFRO:GHANA:UPPER_WEST:LAMBUSSIE_KARNI,-2.6057,10.8426,75763,814.7
AFRO:GHANA:UPPER_WEST:LAWRA,-2.8227,10.6513,60254,529.2
AFRO:GHANA:UPPER_WEST:NADOWLI_KALEO,-2.6323,10.2858,55906,1136.3
AFRO:GHANA:UPPER_WEST:NANDOM,-2.7901,10.8521,52031,406.0
AFRO:GHANA:UPPER_WEST:SISSALA_EAST,-1.7928,10.6527,86357,5115.9
AFRO:GHANA:UPPER_WEST:SISSALA_WEST,-2.2664,10.8251,36365,2058.4
